time,isp,idlePing,download,downloadPing,upload,uploadPing,packetLoss
2025-01-15T18:44:13-06:00[America/Chicago],T-Mobile USA,49,113,78,7,2147,0
2025-01-15T18:49:47-06:00[America/Chicago],T-Mobile USA,43,175,77,8,707,0
2025-01-15T18:55:21-06:00[America/Chicago],T-Mobile USA,47,138,76,7,1308,0
2025-01-15T19:00:48-06:00[America/Chicago],T-Mobile USA,53,151,124,8,515,0
2025-01-15T19:06:22-06:00[America/Chicago],T-Mobile USA,59,123,71,7,696,0
2025-01-15T19:11:58-06:00[America/Chicago],T-Mobile USA,45,126,67,8,1371,0
2025-01-15T19:17:30-06:00[America/Chicago],T-Mobile USA,69,198,129,9,1092,0
2025-01-15T19:22:58-06:00[America/Chicago],T-Mobile USA,45,96,86,9,1042,0
2025-01-15T19:28:24-06:00[America/Chicago],T-Mobile USA,48,120,70,7,1610,0
2025-01-15T19:33:58-06:00[America/Chicago],T-Mobile USA,56,102,71,10,1323,0
2025-01-15T19:39:33-06:00[America/Chicago],T-Mobile USA,46,104,76,9,691,0
2025-01-15T19:45:08-06:00[America/Chicago],T-Mobile USA,46,101,72,9,606,0
2025-01-15T19:50:42-06:00[America/Chicago],T-Mobile USA,49,157,98,9,1146,0
2025-01-15T19:56:17-06:00[America/Chicago],T-Mobile USA,42,330,807,12,210,0
2025-01-15T20:01:50-06:00[America/Chicago],T-Mobile USA,40,148,67,12,1509,0
2025-01-15T20:07:25-06:00[America/Chicago],T-Mobile USA,44,339,468,13,1307,0
2025-01-15T20:12:59-06:00[America/Chicago],T-Mobile USA,45,144,59,14,869,0
2025-01-15T20:18:29-06:00[America/Chicago],T-Mobile USA,45,141,64,13,919,0
2025-01-15T20:24:03-06:00[America/Chicago],T-Mobile USA,45,184,64,12,1525,0
2025-01-15T20:29:37-06:00[America/Chicago],T-Mobile USA,40,185,87,15,937,0
2025-01-15T20:35:11-06:00[America/Chicago],T-Mobile USA,40,176,65,12,1813,0
2025-01-15T20:40:39-06:00[America/Chicago],T-Mobile USA,43,333,711,10,1444,0
2025-01-15T20:46:09-06:00[America/Chicago],T-Mobile USA,52,363,449,10,1114,0
2025-01-15T20:51:43-06:00[America/Chicago],T-Mobile USA,42,111,67,8,1985,0
2025-01-15T20:57:17-06:00[America/Chicago],T-Mobile USA,48,96,69,9,887,0
2025-01-15T21:02:51-06:00[America/Chicago],T-Mobile USA,44,104,67,6,361,0
2025-01-15T21:08:25-06:00[America/Chicago],T-Mobile USA,44,146,76,10,1011,0
2025-01-15T21:14:02-06:00[America/Chicago],T-Mobile USA,49,313,328,6,613,0
2025-01-15T21:19:36-06:00[America/Chicago],T-Mobile USA,41,115,69,10,777,0
2025-01-15T21:25:10-06:00[America/Chicago],T-Mobile USA,44,120,77,9,570,0
2025-01-15T21:30:44-06:00[America/Chicago],T-Mobile USA,64,254,247,9,1178,0
2025-01-15T21:36:19-06:00[America/Chicago],T-Mobile USA,49,103,97,8,1291,0
2025-01-15T21:41:53-06:00[America/Chicago],T-Mobile USA,49,106,86,10,1097,0
2025-01-15T21:47:29-06:00[America/Chicago],T-Mobile USA,54,121,109,9,1128,0
2025-01-15T21:53:04-06:00[America/Chicago],T-Mobile USA,41,126,111,9,1098,0
2025-01-15T21:58:40-06:00[America/Chicago],T-Mobile USA,60,194,325,7,199,0
2025-01-15T22:04:15-06:00[America/Chicago],T-Mobile USA,46,89,92,8,625,0
2025-01-15T22:09:50-06:00[America/Chicago],T-Mobile USA,130,125,91,8,1243,0
2025-01-15T22:15:21-06:00[America/Chicago],T-Mobile USA,46,72,112,9,486,0
2025-01-15T22:20:55-06:00[America/Chicago],T-Mobile USA,45,121,114,8,1196,0
2025-01-15T22:26:30-06:00[America/Chicago],T-Mobile USA,58,242,280,9,1071,0
2025-01-15T22:32:03-06:00[America/Chicago],T-Mobile USA,40,190,73,15,802,0
2025-01-15T22:37:36-06:00[America/Chicago],T-Mobile USA,36,184,70,17,797,0
2025-01-15T22:43:10-06:00[America/Chicago],T-Mobile USA,40,172,54,13,NaN,21
2025-01-15T22:48:45-06:00[America/Chicago],T-Mobile USA,47,122,77,10,475,0
2025-01-15T22:54:17-06:00[America/Chicago],T-Mobile USA,43,120,76,11,593,0
2025-01-15T22:59:51-06:00[America/Chicago],T-Mobile USA,52,166,97,11,757,0
2025-01-15T23:05:25-06:00[America/Chicago],T-Mobile USA,41,120,66,11,700,0
2025-01-15T23:10:59-06:00[America/Chicago],T-Mobile USA,41,120,69,12,418,0
2025-01-15T23:21:49-06:00[America/Chicago],T-Mobile USA,43,130,71,10,1128,0
2025-01-15T23:27:23-06:00[America/Chicago],T-Mobile USA,44,113,68,10,1041,0
2025-01-15T23:32:57-06:00[America/Chicago],T-Mobile USA,45,121,65,10,841,0
2025-01-15T23:38:31-06:00[America/Chicago],T-Mobile USA,49,125,69,11,583,0
2025-01-15T23:44:02-06:00[America/Chicago],T-Mobile USA,43,125,68,12,732,0
2025-01-15T23:49:36-06:00[America/Chicago],T-Mobile USA,45,128,73,8,1057,0
2025-01-15T23:55:10-06:00[America/Chicago],T-Mobile USA,43,114,64,11,390,0
2025-01-16T00:00:43-06:00[America/Chicago],T-Mobile USA,47,104,67,11,636,0
2025-01-16T00:11:50-06:00[America/Chicago],T-Mobile USA,42,113,67,9,1121,0
2025-01-16T00:17:26-06:00[America/Chicago],T-Mobile USA,46,109,68,12,767,0
2025-01-16T00:23:01-06:00[America/Chicago],T-Mobile USA,49,141,66,11,973,0
2025-01-16T00:28:37-06:00[America/Chicago],T-Mobile USA,46,151,71,12,523,0
2025-01-16T00:34:11-06:00[America/Chicago],T-Mobile USA,52,100,63,10,731,0
2025-01-16T00:39:40-06:00[America/Chicago],T-Mobile USA,43,99,61,12,886,0
2025-01-16T00:45:12-06:00[America/Chicago],T-Mobile USA,55,393,320,11,995,0
2025-01-16T00:50:39-06:00[America/Chicago],T-Mobile USA,61,199,331,12,961,0
2025-01-16T00:56:14-06:00[America/Chicago],T-Mobile USA,45,121,66,11,555,0
2025-01-16T01:01:48-06:00[America/Chicago],T-Mobile USA,47,134,69,12,626,0
2025-01-16T01:07:22-06:00[America/Chicago],T-Mobile USA,46,109,63,12,459,0
2025-01-16T01:13:00-06:00[America/Chicago],T-Mobile USA,50,107,67,5,514,0
2025-01-16T01:18:35-06:00[America/Chicago],T-Mobile USA,58,267,100,11,803,NaN
2025-01-16T01:24:09-06:00[America/Chicago],T-Mobile USA,42,103,66,11,243,0
2025-01-16T01:35:01-06:00[America/Chicago],T-Mobile USA,45,156,71,13,316,0
2025-01-16T01:40:34-06:00[America/Chicago],T-Mobile USA,48,103,67,12,815,0
2025-01-16T01:46:07-06:00[America/Chicago],T-Mobile USA,39,104,69,10,499,0
2025-01-16T01:51:42-06:00[America/Chicago],T-Mobile USA,52,408,440,12,425,0
2025-01-16T01:57:16-06:00[America/Chicago],T-Mobile USA,51,110,64,13,594,0
2025-01-16T02:02:49-06:00[America/Chicago],T-Mobile USA,49,114,70,12,448,0
2025-01-16T02:08:24-06:00[America/Chicago],T-Mobile USA,48,107,64,12,738,0
2025-01-16T02:13:59-06:00[America/Chicago],T-Mobile USA,54,425,386,9,1127,0
2025-01-16T02:19:33-06:00[America/Chicago],T-Mobile USA,49,159,74,12,501,0
2025-01-16T02:25:07-06:00[America/Chicago],T-Mobile USA,46,432,649,10,773,0
2025-01-16T02:30:41-06:00[America/Chicago],T-Mobile USA,46,239,89,11,375,0
2025-01-16T02:36:15-06:00[America/Chicago],T-Mobile USA,42,254,101,13,816,0
2025-01-16T02:41:48-06:00[America/Chicago],T-Mobile USA,42,135,77,12,365,0
2025-01-16T02:47:23-06:00[America/Chicago],T-Mobile USA,48,267,90,12,546,0
2025-01-16T02:58:22-06:00[America/Chicago],T-Mobile USA,49,103,64,10,609,0
2025-01-16T03:03:54-06:00[America/Chicago],T-Mobile USA,42,107,62,10,1020,0
2025-01-16T03:09:28-06:00[America/Chicago],T-Mobile USA,59,238,90,12,879,0
2025-01-16T03:15:03-06:00[America/Chicago],T-Mobile USA,40,278,97,9,1055,0
2025-01-16T03:20:36-06:00[America/Chicago],T-Mobile USA,46,116,68,18,679,0
2025-01-16T03:26:10-06:00[America/Chicago],T-Mobile USA,44,259,97,12,930,0
2025-01-16T03:31:44-06:00[America/Chicago],T-Mobile USA,50,319,123,13,766,0
2025-01-16T03:37:18-06:00[America/Chicago],T-Mobile USA,46,108,68,11,723,0
2025-01-16T03:42:51-06:00[America/Chicago],T-Mobile USA,48,116,65,8,408,0
2025-01-16T03:48:26-06:00[America/Chicago],T-Mobile USA,48,129,65,9,737,0
2025-01-16T03:54:00-06:00[America/Chicago],T-Mobile USA,45,323,102,8,702,0
2025-01-16T03:59:32-06:00[America/Chicago],T-Mobile USA,44,288,93,7,439,0
2025-01-16T04:05:06-06:00[America/Chicago],T-Mobile USA,50,319,101,8,1392,0
2025-01-16T04:10:40-06:00[America/Chicago],T-Mobile USA,47,260,92,8,1033,0
2025-01-16T04:21:43-06:00[America/Chicago],T-Mobile USA,49,325,110,7,1395,0
2025-01-16T04:27:18-06:00[America/Chicago],T-Mobile USA,48,129,71,7,495,0
2025-01-16T04:32:52-06:00[America/Chicago],T-Mobile USA,45,164,72,4,1126,0
2025-01-16T04:38:27-06:00[America/Chicago],T-Mobile USA,41,174,74,10,743,0
2025-01-16T04:44:02-06:00[America/Chicago],T-Mobile USA,44,285,117,9,1205,0
2025-01-16T04:55:02-06:00[America/Chicago],T-Mobile USA,43,107,66,8,1589,0
2025-01-16T05:00:36-06:00[America/Chicago],T-Mobile USA,43,101,63,8,1307,0
2025-01-16T05:11:42-06:00[America/Chicago],T-Mobile USA,45,158,75,9,1041,0
2025-01-16T05:17:15-06:00[America/Chicago],T-Mobile USA,52,116,67,10,861,0
2025-01-16T05:22:49-06:00[America/Chicago],T-Mobile USA,59,231,96,9,814,NaN
2025-01-16T05:28:22-06:00[America/Chicago],T-Mobile USA,45,115,69,9,1153,0
2025-01-16T05:33:56-06:00[America/Chicago],T-Mobile USA,48,112,69,8,545,0
2025-01-16T05:39:32-06:00[America/Chicago],T-Mobile USA,50,136,85,6,625,0
2025-01-16T05:45:06-06:00[America/Chicago],T-Mobile USA,48,125,67,7,898,0
2025-01-16T05:50:40-06:00[America/Chicago],T-Mobile USA,47,114,66,6,598,0
2025-01-16T05:56:14-06:00[America/Chicago],T-Mobile USA,47,116,68,9,1028,0
2025-01-16T06:01:48-06:00[America/Chicago],T-Mobile USA,44,131,69,6,710,0
2025-01-16T06:07:21-06:00[America/Chicago],T-Mobile USA,56,150,71,9,678,0
2025-01-16T06:18:16-06:00[America/Chicago],T-Mobile USA,54,112,70,11,577,0
2025-01-16T06:23:51-06:00[America/Chicago],T-Mobile USA,43,129,75,11,597,0
2025-01-16T06:29:24-06:00[America/Chicago],T-Mobile USA,44,124,65,19,847,0
2025-01-16T06:34:55-06:00[America/Chicago],T-Mobile USA,46,97,81,10,843,0
2025-01-16T06:40:26-06:00[America/Chicago],T-Mobile USA,40,242,75,12,887,0
2025-01-16T06:45:52-06:00[America/Chicago],T-Mobile USA,56,311,253,12,842,0
2025-01-16T06:51:26-06:00[America/Chicago],T-Mobile USA,43,109,78,12,707,0
2025-01-16T06:57:00-06:00[America/Chicago],T-Mobile USA,47,128,75,10,784,0
2025-01-16T07:02:32-06:00[America/Chicago],T-Mobile USA,57,349,271,11,631,0
2025-01-16T07:08:07-06:00[America/Chicago],T-Mobile USA,46,106,64,9,1622,0
2025-01-16T07:13:41-06:00[America/Chicago],T-Mobile USA,47,156,89,9,2433,0
2025-01-16T07:19:15-06:00[America/Chicago],T-Mobile USA,54,172,130,14,670,0
2025-01-16T07:24:44-06:00[America/Chicago],T-Mobile USA,50,122,77,10,751,0
2025-01-16T07:30:18-06:00[America/Chicago],T-Mobile USA,46,123,64,9,1609,0
2025-01-16T07:35:53-06:00[America/Chicago],T-Mobile USA,75,234,99,11,357,0
2025-01-16T07:41:26-06:00[America/Chicago],T-Mobile USA,64,178,208,10,1128,0
2025-01-16T07:47:01-06:00[America/Chicago],T-Mobile USA,48,134,68,9,1523,0
2025-01-16T07:52:36-06:00[America/Chicago],T-Mobile USA,47,121,61,9,885,0
2025-01-16T07:58:10-06:00[America/Chicago],T-Mobile USA,46,273,76,15,777,0
2025-01-16T08:03:44-06:00[America/Chicago],T-Mobile USA,48,110,68,11,1162,0
2025-01-16T08:09:18-06:00[America/Chicago],T-Mobile USA,44,233,86,9,930,0
2025-01-16T08:14:54-06:00[America/Chicago],T-Mobile USA,45,214,60,16,944,0
2025-01-16T08:20:23-06:00[America/Chicago],T-Mobile USA,108,260,263,11,685,0
2025-01-16T08:25:57-06:00[America/Chicago],T-Mobile USA,49,132,73,8,421,0
2025-01-16T08:31:31-06:00[America/Chicago],T-Mobile USA,44,164,87,9,909,0
2025-01-16T08:37:05-06:00[America/Chicago],T-Mobile USA,40,229,77,14,1315,0
2025-01-16T08:42:36-06:00[America/Chicago],T-Mobile USA,59,323,266,10,676,0
2025-01-16T08:48:11-06:00[America/Chicago],T-Mobile USA,47,133,75,10,585,0
2025-01-16T08:53:45-06:00[America/Chicago],T-Mobile USA,46,114,70,10,1109,0
2025-01-16T08:59:19-06:00[America/Chicago],T-Mobile USA,57,167,76,10,751,0
2025-01-16T09:04:53-06:00[America/Chicago],T-Mobile USA,49,112,68,10,1285,0
2025-01-16T09:10:28-06:00[America/Chicago],T-Mobile USA,46,125,63,9,604,0
2025-01-16T09:16:01-06:00[America/Chicago],T-Mobile USA,40,104,74,10,429,0
2025-01-16T09:21:37-06:00[America/Chicago],T-Mobile USA,48,116,69,6,1212,0
2025-01-16T09:27:06-06:00[America/Chicago],T-Mobile USA,50,126,82,7,809,0
2025-01-16T09:32:40-06:00[America/Chicago],T-Mobile USA,42,229,117,4,1192,0
2025-01-16T09:38:14-06:00[America/Chicago],T-Mobile USA,44,190,71,9,1862,0
2025-01-16T09:43:49-06:00[America/Chicago],T-Mobile USA,47,98,82,11,968,0
2025-01-16T09:49:22-06:00[America/Chicago],T-Mobile USA,53,95,69,12,764,NaN
2025-01-16T09:54:56-06:00[America/Chicago],T-Mobile USA,43,110,67,12,761,0
2025-01-16T10:00:24-06:00[America/Chicago],T-Mobile USA,46,117,66,8,854,0
2025-01-16T10:11:32-06:00[America/Chicago],T-Mobile USA,48,118,94,7,1681,0
2025-01-16T10:17:03-06:00[America/Chicago],T-Mobile USA,47,136,88,7,1180,0
2025-01-16T10:22:37-06:00[America/Chicago],T-Mobile USA,44,113,77,5,745,0
2025-01-16T10:28:12-06:00[America/Chicago],T-Mobile USA,45,106,98,6,744,0
2025-01-16T10:33:43-06:00[America/Chicago],T-Mobile USA,62,209,210,6,887,0
2025-01-16T10:44:49-06:00[America/Chicago],T-Mobile USA,46,211,82,10,757,0
2025-01-16T10:50:23-06:00[America/Chicago],T-Mobile USA,60,170,87,7,932,0
2025-01-16T10:55:57-06:00[America/Chicago],T-Mobile USA,45,119,77,8,610,0
2025-01-16T11:01:31-06:00[America/Chicago],T-Mobile USA,49,114,74,5,2393,0
2025-01-16T11:06:57-06:00[America/Chicago],T-Mobile USA,57,29,162,7,1164,0
2025-01-16T11:12:31-06:00[America/Chicago],T-Mobile USA,57,120,67,9,1579,0
2025-01-16T11:18:04-06:00[America/Chicago],T-Mobile USA,65,282,260,13,727,0
2025-01-16T11:23:38-06:00[America/Chicago],T-Mobile USA,43,162,72,9,756,0
2025-01-16T11:29:12-06:00[America/Chicago],T-Mobile USA,46,113,64,7,1149,0
2025-01-16T11:34:47-06:00[America/Chicago],T-Mobile USA,47,161,91,9,1056,0
2025-01-16T11:40:17-06:00[America/Chicago],T-Mobile USA,45,122,87,8,984,0
2025-01-16T11:45:51-06:00[America/Chicago],T-Mobile USA,46,425,576,8,141,0
2025-01-16T11:51:25-06:00[America/Chicago],T-Mobile USA,60,291,313,6,859,0
2025-01-16T11:57:00-06:00[America/Chicago],T-Mobile USA,47,435,667,8,1698,0
2025-01-16T12:02:36-06:00[America/Chicago],T-Mobile USA,57,210,210,9,867,0
2025-01-16T12:08:10-06:00[America/Chicago],T-Mobile USA,45,135,70,9,863,0
2025-01-16T12:13:44-06:00[America/Chicago],T-Mobile USA,48,127,117,11,1170,0
2025-01-16T12:24:44-06:00[America/Chicago],T-Mobile USA,58,249,345,5,509,1
2025-01-16T12:30:15-06:00[America/Chicago],T-Mobile USA,52,293,590,8,510,0
2025-01-16T12:35:49-06:00[America/Chicago],T-Mobile USA,47,284,508,7,1569,0
2025-01-16T12:41:22-06:00[America/Chicago],T-Mobile USA,49,344,451,13,703,0
2025-01-16T12:46:56-06:00[America/Chicago],T-Mobile USA,45,158,84,9,1139,0
2025-01-16T12:52:28-06:00[America/Chicago],T-Mobile USA,41,249,204,9,554,0
2025-01-16T12:58:00-06:00[America/Chicago],T-Mobile USA,60,280,376,15,309,0
2025-01-16T13:03:30-06:00[America/Chicago],T-Mobile USA,52,339,374,9,538,0
2025-01-16T13:09:05-06:00[America/Chicago],T-Mobile USA,58,227,305,10,690,0
2025-01-16T13:14:36-06:00[America/Chicago],T-Mobile USA,59,208,219,7,1013,0
2025-01-16T13:20:11-06:00[America/Chicago],T-Mobile USA,62,165,452,7,2414,0
2025-01-16T13:25:43-06:00[America/Chicago],T-Mobile USA,57,206,256,8,1041,0
2025-01-16T13:31:16-06:00[America/Chicago],T-Mobile USA,47,119,90,8,761,0
2025-01-16T13:36:51-06:00[America/Chicago],T-Mobile USA,62,216,226,9,1471,0
2025-01-16T13:42:26-06:00[America/Chicago],T-Mobile USA,50,127,86,7,562,0
